RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,6,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,465000,449900,455000,460000,480000,497000,499000,499900,499000,499900,499000,490000,469000,475000,499000,509000,529000,550000,557000,559000,559000,558888,559000,550000,550000,550000,565000,575000,585000,589000,599000,599000,595000,595000,599000,599000,595000,595000,598000,599999,619900,629500,625000
Cook,IL,Chicago,17,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189000,179900,194900,209900,223500,229900,230000,230000,229000,225000,219900,210000,199000,189900,204900,224500,227900,232900,234906.5,230000,229900,225900,225000,220000,215000,215000,225000,239900,249500,249999,250000,249000,242500,244900,239900,235000,229000,229900,247000,259000,265000,269000,269900
Harris,TX,Houston,48,201,3,136900,140000,144778.5,145000,144900,144500,140000,142900,153000,151990,154000,149990,149900,149900,149900,149900,150000,152900,150000,149900,142900,143900,139900,140000,140000,140000,144900,146900,147900,149000,148729,149000,147000,147000,159000,160000,160000,169900,174000,177500,179865.5,179990,179990,180492.5,184900,189900,185990,187990,189500,197990,199990,210000,214997.5,214900,215000,219880,220486,223348.5,229000,235155,246290,254990,260990,269900,259900,250000,267990,269900,270501,274900,273990,279500,280502,269900,275000,275000,275000,275000,273990,270690,269000,265000,263990,259990,259900,264900,269900,274180,274990,274455
Maricopa,AZ,Phoenix,4,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,239000,235000,239000,244900,248900,249900,250000,249000,249000,249900,250000,249000,244900,250945,259900,265000,274000,275000,275000,269000,275000,275000,278000,279900,279900,280000,284000,285000,288000,289000,289500,285000,282500,284000,282499,282000,284900,284900,289500,290000,296500,299000,295000
San Diego,CA,San Diego,6,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,452000,458888,465000,475000,489000,459000,482540,499000,495000,489000,485000,485000,475000,479500,490000,524000,534000,549000,525000,555000,550000,559000,559900,564000,575000,569000,569000,569000,575000,579000,579000,585000,579000,577500,575000,570000,574993.5,579000,589000,595000,615000,625000,624900
Orange,CA,Los Angeles-Long Beach-Anaheim,6,59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599900,599000,599500,609000,625000,628000,635000,635000,635000,646235,639000,630000,619000,629000,645900,659000,669000,685000,695000,688750,685000,689000,689000,684139.5,689000,685000,689900,699000,699900,7.00E+05,710612,710000,709900,709000,715900,715000,716405,723990,729900,749000,755000,759900,749999
Kings,NY,New York,36,47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,429000,436000,449000,449450,459000,450000,439000,449000,449000,449990,485000,479000,498000,485000,499000,499000,499000,499000,525000,525000,512500,549000,559000,550000,589999,588000,6.00E+05,619000,649000,669160,670000,650000,675000,679000,662300,675000,699000,725000,699000,749000,721000,735000,729000,748888,755000,760000,765000,769000,769000,780000,790000,788000,779000,780000
Miami-Dade,FL,Miami-Fort Lauderdale,12,86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269900,269000,269900,265000,270000,270000,270000,269900,274900,280000,282000,298000,299999,297746.5,309000,315000,310000,290000,295000,317990,320000,329000,330000,350000,359000,359950,364000,352995,369500,371600,370000,374945,370000,375510,375000,377000,379000,379000,379999.5,379990,380000,385000,389000
Dallas,TX,Dallas-Fort Worth,48,113,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,175000,177500,187000,195000,2.00E+05,194500,194900,209900,199000,197000,189900,198999.5,199500,219900,228950,232500,235000,235000,225000,226500,235000,239000,239900,239000,235000,239500,259800.5,269000,275000,275900,273500,269950,274900,279000,275000,275000,276500,289676,295000,310000,318900,314990
Queens,NY,New York,36,81,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299999,299000,309000,299000,299800,310000,310000,319000,325000,329000,329999,339000,339000,335000,330000,349000,349475,349000,350000,359000,359000,365000,359000,360000,368000,369000,379999,388880,379900,389000,399000,399444,405000,410000,429000,420000,429000,439999,449000,450000,458000,460000,472000,475000,475000,475000,475000,470000,475000,479999,485000,489000,499000,510000,519000
