PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,WIKIPEDIA_HANDLE,TWITTER_HANDLE,SALARY_MILLIONS,PTS,ACTIVE_TWITTER_LAST_YEAR,TWITTER_FOLLOWER_COUNT_MILLIONS
201566,Russell Westbrook,1610612760,OKC,28,81,46,35,0.568,34.6,107.9,104.6,3.3,0.543,1.92,23.4,0.053,0.279,0.167,12.2,0.476,0.554,0.408,102.31,0.23,824,1941,10.2,24,0.425,18,62,330,143,22,115,168,95,1,140,96,171,22,53,358,339,181,2,47,1,1,1,2,1,293,5,"2,015,661,610,612,760",Russell_Westbrook,russwest44,26.54,31.6,1,4.5
1626246,Boban Marjanovic,1610612765,DET,28,35,16,19,0.457,8.4,104.3,102.4,1.9,0.054,0.9,5.1,0.166,0.313,0.239,5.7,0.545,0.606,0.248,97.2,0.196,72,132,2.1,3.8,0.545,365,345,149,270,432,260,82,139,412,381,467,4,8,5,30,100,52,63,328,2,344,360,306,356,47,5,"16,262,461,610,612,700",Boban_Marjanovi_,0,7,5.5,0,0
1627743,Demetrius Jackson,1610612738,BOS,22,5,1,4,0.2,3.4,124.2,117.8,6.3,0.3,0,31.1,0.091,0.118,0.103,0,0.875,0.753,0.172,87.46,0.194,3,4,0.6,0.8,0.75,458,464,34,468,475,2,475,53,32,466,28,81,317,201,1,2,4,279,483,3,461,476,458,480,3,5,"16,277,431,610,612,700",Demetrius_Jackson,d_jay11,1.45,2,1,0.049
203076,Anthony Davis,1610612740,NOP,24,75,31,44,0.413,36.1,104.2,102.5,1.7,0.11,0.87,7.3,0.067,0.269,0.17,8.4,0.518,0.58,0.326,100.19,0.192,770,1526,10.3,20.3,0.505,111,196,419,316,9,271,88,144,230,387,442,139,27,48,129,189,112,9,121,4,3,5,1,3,95,5,"2,030,761,610,612,740",Anthony_Davis_(basketball),antdavis23,22.12,28,1,1.22
201935,James Harden,1610612745,HOU,27,81,54,27,0.667,36.4,113.6,107.3,6.3,0.505,1.95,27.6,0.035,0.212,0.123,14.1,0.525,0.613,0.341,102.98,0.19,674,1533,8.3,18.9,0.44,18,15,221,56,7,27,296,55,2,132,48,242,73,144,426,167,40,7,34,5,10,4,15,9,253,5,"2,019,351,610,612,740",James_Harden,jharden13,26.5,29.1,1,4.47
201142,Kevin Durant,1610612744,GSW,28,62,51,11,0.823,33.4,117.2,101.3,16,0.218,2.17,18.4,0.023,0.232,0.137,8.5,0.594,0.651,0.276,103.71,0.186,551,1026,8.9,16.5,0.537,244,21,79,14,40,9,57,9,79,89,168,320,55,106,131,31,12,31,17,6,26,35,9,22,53,5,"2,011,421,610,612,740",Kevin_Durant,KDTrey5,26.54,25.1,1,16.2
2544,LeBron James,1610612739,CLE,32,74,51,23,0.689,37.8,114.9,107.1,7.7,0.388,2.13,25.6,0.04,0.209,0.127,12,0.594,0.619,0.297,98.38,0.183,736,1344,9.9,18.2,0.548,126,21,190,45,1,18,287,45,7,98,68,220,81,125,347,32,35,15,230,7,4,19,3,15,45,5,"25,441,610,612,739",LeBron_James,KingJames,30.96,26.4,1,37
101108,Chris Paul,1610612746,LAC,32,61,43,18,0.705,31.5,116.2,101.3,14.9,0.444,3.83,35,0.025,0.149,0.089,9.1,0.555,0.614,0.243,98.19,0.182,374,785,6.1,12.9,0.476,253,76,136,38,64,10,58,14,4,7,15,301,219,242,173,84,39,72,243,8,79,78,51,58,142,5,"1,011,081,610,612,740",Chris_Paul,cp3,22.87,18.1,1,6.4
202326,DeMarcus Cousins,1610612740,NOP,26,72,30,42,0.417,34.2,106.7,109,-2.2,0.262,1.23,14.3,0.072,0.305,0.188,11.6,0.498,0.562,0.364,97.11,0.178,647,1432,9,19.9,0.452,158,209,402,315,25,152,374,273,50,300,241,127,11,29,321,261,156,4,331,9,14,13,7,4,208,5,"2,023,261,610,612,740",DeMarcus_Cousins,boogiecousins,16.96,24.4,1,0.826
203507,Giannis Antetokounmpo,1610612749,MIL,22,80,42,38,0.525,35.6,107.4,105.9,1.5,0.269,1.85,19.8,0.058,0.226,0.143,10.7,0.541,0.599,0.283,96.46,0.176,656,1259,8.2,15.7,0.521,38,82,367,182,12,131,224,148,47,150,133,157,57,95,265,113,67,28,378,10,13,23,20,29,77,5,"2,035,071,610,612,740",Giannis_Antetokounmpo,giannis_an34,2.99,22.9,1,0.246
202695,Kawhi Leonard,1610612759,SAS,26,74,54,20,0.73,33.4,112.6,104,8.6,0.182,1.69,13.3,0.038,0.16,0.1,7.9,0.541,0.61,0.312,95.79,0.174,636,1312,8.6,17.7,0.485,126,15,161,34,38,37,139,36,122,186,273,232,190,207,102,112,50,11,407,11,19,21,13,19,121,5,"2,026,951,610,612,750",Kawhi_Leonard,kawhileonard,17.6,25.5,0,0.166
203954,Joel Embiid,1610612755,PHI,23,31,13,18,0.419,25.4,102.4,99.1,3.2,0.174,0.56,9.2,0.092,0.247,0.173,16.3,0.508,0.584,0.363,100.25,0.174,200,429,6.5,13.8,0.466,378,378,136,313,156,345,31,96,131,440,390,80,45,44,456,225,101,5,115,12,201,205,45,47,166,5,"2,039,541,610,612,750",Joel_Embiid,JoelEmbiid,4.82,20.2,1,0.793
