TEAM,GMS,PCT,TOTAL_MILLIONS,AVG_MILLIONS
Chicago Bulls,41,104,0.888882,0.02168
Dallas Mavericks,41,103,0.811366,0.019789
Sacramento Kings,41,101,0.721928,0.017608
Miami Heat,41,100,0.8054,0.019643
Toronto Raptors,41,100,0.81305,0.01983
Los Angeles Clippers,41,100,0.782609,0.019088
Cleveland Cavaliers,41,100,0.843042,0.020562
Golden State Warriors,41,100,0.803436,0.019596
Oklahoma City Thunder,41,100,0.746323,0.018203
New York Knicks,41,100,0.810741,0.019774
Boston Celtics,41,100,0.76069,0.018553
Los Angeles Lakers,41,99,0.776917,0.018949
Portland Trail Blazers,41,99,0.792029,0.019317
San Antonio Spurs,41,99,0.755347,0.018423
Utah Jazz,41,99,0.806605,0.019673
Orlando Magic,41,94,0.727875,0.017753
New Orleans Pelicans,41,94,0.663099,0.016173
Houston Rockets,41,94,0.695903,0.016973
Phoenix Suns,41,94,0.708639,0.017283
Indiana Pacers,41,92,0.684578,0.016697
Memphis Grizzlies,41,91,0.677314,0.016519
Charlotte Hornets,41,91,0.710643,0.017332
Philadelphia 76ers,41,85,0.710557,0.01733
Atlanta Hawks,41,85,0.654306,0.015958
Brooklyn Nets,41,85,0.632608,0.015429
Milwaukee Bucks,41,85,0.648952,0.015828
Washington Wizards,41,84,0.697107,0.017002
Denver Nuggets,41,77,0.605585,0.01477
Minnesota Timberwolves,41,77,0.607203,0.014809
Detroit Pistons,41,72,0.655141,0.015979
