PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Russell Westbrook,OKC,28,81,46,35,34.6,107.9,104.6,3.3,54.3,1.92,23.4,5.3,27.9,16.7,12.2,47.6,55.4,40.8,102.31,23
Boban Marjanovic,DET,28,35,16,19,8.4,104.3,102.4,1.9,5.4,0.9,5.1,16.6,31.3,23.9,5.7,54.5,60.6,24.8,97.2,19.6
Demetrius Jackson,BOS,22,5,1,4,3.4,124.2,117.8,6.3,30,0,31.1,9.1,11.8,10.3,0,87.5,75.3,17.2,87.46,19.4
Anthony Davis,NOP,24,75,31,44,36.1,104.2,102.5,1.7,11,0.87,7.3,6.7,26.9,17,8.4,51.8,58,32.6,100.19,19.2
James Harden,HOU,27,81,54,27,36.4,113.6,107.3,6.3,50.5,1.95,27.6,3.5,21.2,12.3,14.1,52.5,61.3,34.1,102.98,19
Kevin Durant,GSW,28,62,51,11,33.4,117.2,101.3,16,21.8,2.17,18.4,2.3,23.2,13.7,8.5,59.4,65.1,27.6,103.71,18.6
LeBron James,CLE,32,74,51,23,37.8,114.9,107.1,7.7,38.8,2.13,25.6,4,20.9,12.7,12,59.4,61.9,29.7,98.38,18.3
Chris Paul,LAC,32,61,43,18,31.5,116.2,101.3,14.9,44.4,3.83,35,2.5,14.9,8.9,9.1,55.5,61.4,24.3,98.19,18.2
DeMarcus Cousins,NOP,26,72,30,42,34.2,106.7,109,-2.2,26.2,1.23,14.3,7.2,30.5,18.8,11.6,49.8,56.2,36.4,97.11,17.8
Giannis Antetokounmpo,MIL,22,80,42,38,35.6,107.4,105.9,1.5,26.9,1.85,19.8,5.8,22.6,14.3,10.7,54.1,59.9,28.3,96.46,17.6
Kawhi Leonard,SAS,26,74,54,20,33.4,112.6,104,8.6,18.2,1.69,13.3,3.8,16,10,7.9,54.1,61,31.2,95.79,17.4
Joel Embiid,PHI,23,31,13,18,25.4,102.4,99.1,3.2,17.4,0.56,9.2,9.2,24.7,17.3,16.3,50.8,58.4,36.3,100.25,17.4
Karl-Anthony Towns,MIN,21,82,31,51,37,109.9,110.8,-0.9,12.7,1.04,10.5,11.4,27.7,19.5,10.1,57.6,61.8,27.4,97.1,17.1
Nikola Jokic,DEN,22,73,37,36,27.9,114.9,109.8,5.1,26.6,2.1,24.2,11.9,27.2,19.7,11.5,60.5,64,23.4,100.76,16.7
Jimmy Butler,CHI,27,76,40,36,37,106.4,103.4,3,24.3,2.62,19.6,5,13.1,9,7.5,49.2,58.6,26.5,97.78,16.4
Hassan Whiteside,MIA,28,77,39,38,32.6,106.6,105.3,1.3,3.7,0.37,4.2,12.9,34.9,23.9,11.5,55.7,57.9,22.6,97.11,16.3
Rudy Gobert,UTA,25,81,51,30,33.9,108.7,100.6,8.1,5.7,0.66,9,13.8,28.8,21.7,13.6,66.1,68.1,16.7,93.11,16.1
Isaiah Thomas,BOS,28,76,51,25,33.8,113.6,108.6,5,30.5,2.13,18.5,1.9,7,4.5,8.7,54.6,62.5,33.7,99.84,16.1
Mike Conley,MEM,29,69,35,34,33.2,108.6,105.5,3.1,32.9,2.78,24.6,1.5,10.8,6.1,8.9,54.5,60.4,26.3,94.64,16
Damian Lillard,POR,26,75,38,37,35.9,110.1,108.9,1.2,27.7,2.23,18.6,1.8,13.4,7.5,8.3,51.6,58.6,30.9,99.68,15.9
Gordon Hayward,UTA,27,73,46,27,34.5,109.5,102.4,7.1,17.9,1.8,14.5,2.3,15.2,9,8.1,53.6,59.5,27.6,93.44,15.8
DeMar DeRozan,TOR,27,74,47,27,35.4,110.2,107,3.3,20.4,1.61,12.6,3,13.4,8.3,7.8,47.7,55.2,34.2,97.69,15.5
Joel Bolomboy,UTA,23,12,8,4,4.4,106.3,95,11.3,6.5,1,8.8,8.3,25.5,17.2,8.8,59.4,59,18,95.32,15.4
Enes Kanter,OKC,25,72,43,29,21.3,107.8,107.9,-0.1,7.8,0.54,6.4,14.7,21,17.9,11.7,54.9,59.9,27.5,99.17,15.4
John Wall,WAS,26,78,48,30,36.4,111.2,107.3,3.9,45,2.58,29.5,2.3,10.5,6.4,11.4,48.2,54.1,30.2,101.07,15.3
Blake Griffin,LAC,28,61,40,21,34,115.2,104.6,10.6,23.5,2.11,18.8,6.4,20.4,13.7,8.9,51.3,56.9,27.8,98.71,15.2
Zach Randolph,MEM,35,73,38,35,24.5,104.1,105.2,-1.1,13.1,1.23,9.6,11.3,28,19.3,7.8,46,49,28.5,94.36,15.2
Dwight Howard,ATL,31,74,37,37,29.7,101.1,103.1,-2,7.6,0.61,9.7,15.3,31,23.4,15.8,63.3,62.7,19.1,99.8,15.1
Stephen Curry,GSW,29,79,65,14,33.4,118.1,100.9,17.2,28.7,2.19,22.2,2.7,11.3,7.3,10.1,58,62.4,29.2,105.08,15.1
Marc Gasol,MEM,32,74,40,34,34.2,106.5,105.1,1.4,24.6,2.04,18.7,2.7,19,10.6,9.2,50.3,55.4,26.7,94.43,15.1
DeAndre Jordan,LAC,28,81,51,30,31.7,113.4,103.7,9.7,5.4,0.83,9.8,13.6,34.3,24.3,11.8,71.4,67.3,15.3,98.43,15
Kevin Love,CLE,28,60,40,20,31.4,113.2,106,7.2,9.3,0.95,9.4,8.7,29.5,19.3,9.9,51,57.3,25.5,99.66,14.8
Kyle Lowry,TOR,31,60,36,24,37.4,112.8,104.6,8.2,29.3,2.41,25,2.4,12.1,7.3,10.4,56.9,62.3,24.9,96.85,14.7
Pau Gasol,SAS,36,64,47,17,25.4,110.7,104,6.8,14.3,1.85,16.4,7.7,27.1,17.6,8.8,54.8,57.8,21.6,95.48,14.3
Nikola Vucevic,ORL,26,75,27,48,28.8,102.5,106.1,-3.6,15.7,1.78,14.6,8.6,30.6,19.3,8.2,48,49.8,24.3,100.74,14.2
Eric Bledsoe,PHX,27,66,22,44,33,106.1,110.2,-4.1,30.9,1.87,22.3,2.5,13.9,8,11.9,48.5,56.3,28,103.09,14.1
Greg Monroe,MIL,27,81,42,39,22.5,110.1,106.4,3.7,16.5,1.34,16.1,11.2,23.7,17.6,12.1,53.3,57.2,24.2,96.98,13.9
Edy Tavares,CLE,25,2,1,1,13.8,108.2,93,15.2,7.1,0.5,10.7,16,24.1,20.4,21.5,80,63.3,13.7,89.74,13.8
Josh Huestis,OKC,25,2,0,2,15.4,111.3,104.9,6.4,11.5,0,20.8,13.3,17.2,15.3,0,63.6,61.2,14.6,108.61,13.7
Kemba Walker,CHA,27,79,36,43,34.7,109,105.4,3.6,28.2,2.58,19.6,1.8,10.7,6.2,7.6,52.7,56.9,29.1,98.19,13.7
Andre Drummond,DET,23,81,36,45,29.7,102.6,108.9,-6.3,6,0.59,6.9,14.6,37.3,25.2,11.6,53.1,51.8,22.4,96.5,13.6
Jonas Valanciunas,TOR,25,80,50,30,25.8,109.6,107.2,2.5,4.3,0.54,5.9,12.4,29.7,21,11,55.8,60.1,19.5,96.61,13.6
Paul George,IND,27,75,39,36,35.9,108.9,106,2.9,15.7,1.14,12.7,2.5,17.8,10.3,11.1,53.4,58.7,29,98.13,13.6
Kyrie Irving,CLE,25,72,47,25,35.1,114.2,109.1,5.1,27.8,2.32,19.3,2.3,7.5,5,8.3,53.5,58,30.2,99.12,13.5
J.J. Barea,DAL,33,35,11,24,22,104.6,102.8,1.8,42.1,3.06,31.1,1.3,11.7,6.4,10.1,49.1,52.1,26.1,95.14,13.4
Lou Williams,HOU,30,81,34,47,24.6,108.7,109,-0.4,19.3,1.49,15,1.4,9.6,5.5,10,51.1,59.3,28.3,103.22,13.3
