NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
"LeBron James, SF",CLE,74,37.8,6.49,1.93,8.42,20.43
"Stephen Curry, PG",GS,79,33.4,7.27,0.14,7.41,18.8
"Jimmy Butler, SG",CHI,76,37,4.82,1.8,6.62,17.35
"Russell Westbrook, PG",OKC,81,34.6,6.74,-0.47,6.27,17.34
"Draymond Green, PF",GS,76,32.5,1.55,5.59,7.14,16.84
"Rudy Gobert, C",UTAH,81,33.9,0.35,6.02,6.37,15.55
"James Harden, SG",HOU,81,36.4,6.38,-1.57,4.81,15.54
"Kawhi Leonard, SF",SA,74,33.4,5.83,1.25,7.08,15.53
"Chris Paul, PG",LAC,61,31.5,5.16,2.76,7.92,13.48
"Nikola Jokic, C",DEN,73,27.9,4.44,2.29,6.73,13.18
"Giannis Antetokounmpo, SF",MIL,80,35.6,2.35,1.86,4.21,13
"Anthony Davis, PF",NO,75,36.1,0.45,3.9,4.35,12.81
"Kyle Lowry, PG",TOR,60,37.4,4.7,1.18,5.88,12.67
"DeAndre Jordan, C",LAC,81,31.7,1.11,3.44,4.55,12.59
"Kevin Durant, SF",GS,62,33.4,4.41,1.33,5.74,12.24
"Paul Millsap, PF",ATL,69,34,1.23,3.35,4.58,11.51
"DeMarcus Cousins, C",NO/SAC,72,34.2,3.56,0.64,4.2,11.26
"Otto Porter Jr., SF",WSH,80,32.6,3.12,0.44,3.56,11.21
"Damian Lillard, PG",POR,75,35.9,4.63,-1.49,3.14,10.72
"Jae Crowder, SF",BOS,72,32.4,2.2,1.69,3.89,10.52
"Mike Conley, PG",MEM,69,33.2,4.67,-0.2,4.47,10.5
"Karl-Anthony Towns, C",MIN,82,37,3.54,-1.41,2.13,10
"Kemba Walker, PG",CHA,79,34.7,3.93,-1.25,2.68,9.95
"John Wall, PG",WSH,78,36.4,3.52,-1.26,2.26,9.9
"Kevin Love, PF",CLE,60,31.4,2.77,2.26,5.03,9.76
"Gorgui Dieng, PF",MIN,82,32.4,-0.8,3.52,2.72,9.73
"Paul George, SF",IND,75,35.9,2.67,-0.09,2.58,9.72
"Klay Thompson, SG",GS,78,34,2.78,-0.45,2.33,9.53
"Gordon Hayward, SF",UTAH,73,34.5,3.14,-0.08,3.06,9.45
"Myles Turner, C",IND,81,31.4,0.09,2.57,2.66,9.31
"Trevor Ariza, SF",HOU,80,34.7,0.86,1.07,1.93,9.29
"Bradley Beal, SG",WSH,77,34.9,3.29,-1.04,2.25,9.26
"Robert Covington, SF",PHI,67,31.6,-0.77,4.32,3.55,9.23
"Blake Griffin, PF",LAC,61,34,3.02,0.76,3.78,9.2
"Andre Iguodala, SF",GS,76,26.3,2.01,1.52,3.53,8.72
"Ricky Rubio, PG",MIN,75,32.9,1.73,0.76,2.49,8.72
"Marc Gasol, C",MEM,74,34.2,1.86,0.72,2.58,8.69
"Danilo Gallinari, SF",DEN,63,33.9,2.67,0.21,2.88,8.39
"Kyrie Irving, PG",CLE,72,35.1,4.35,-2.3,2.05,8.28
"Isaiah Thomas, PG",BOS,76,33.8,5.72,-3.89,1.83,8.19
"Hassan Whiteside, C",MIA,77,32.6,-0.69,2.72,2.03,8.15
"Jeff Teague, PG",IND,82,32.4,1.86,-0.22,1.64,8.08
"Markieff Morris, PF",WSH,76,31.2,-0.55,2.41,1.86,7.61
"Brook Lopez, C",BKN,75,29.6,1.4,0.55,1.95,7.59
"Patrick Beverley, PG",HOU,67,30.7,1.11,1.37,2.48,7.56
"CJ McCollum, SG",POR,80,35,3.01,-1.87,1.14,7.52
"James Johnson, PF",MIA,76,27.4,0.42,1.94,2.36,7.31
"Amir Johnson, PF",BOS,80,20.1,0.22,3.58,3.8,7.02
"Steven Adams, C",OKC,80,29.9,-0.3,1.68,1.38,7.01
"Cody Zeller, C",CHA,62,27.8,-0.07,3.42,3.35,6.97
"Al Horford, C",BOS,68,32.3,0.76,1.06,1.82,6.93
"Jrue Holiday, PG",NO,67,32.7,0.64,1.18,1.82,6.89
"Victor Oladipo, SG",OKC,67,33.2,0.1,1.56,1.66,6.88
"Eric Bledsoe, PG",PHX,66,33,2.33,-0.64,1.69,6.85
"Ersan Ilyasova, PF",ATL/PHI/OKC,82,26.1,0.98,0.74,1.72,6.83
"Lou Williams, SG",HOU/LAL,81,24.6,3.65,-1.68,1.97,6.73
"Nicolas Batum, SG",CHA,77,34,1.3,-0.35,0.95,6.73
"Andre Roberson, SG",OKC,79,30.1,-1.4,2.64,1.24,6.73
"Joe Ingles, SF",UTAH,82,24,2.29,0.26,2.55,6.68
"Tobias Harris, SF",DET,82,31.3,1.19,-0.25,0.94,6.55
"Kristaps Porzingis, PF",NY,66,32.8,-0.31,1.9,1.59,6.54
"Ryan Anderson, PF",HOU,72,29.4,1.63,-0.12,1.51,6.46
"Eric Gordon, SG",HOU,75,31,1.51,-0.48,1.03,6.36
"Goran Dragic, PG",MIA,73,33.7,2.54,-1.62,0.92,6.3
"George Hill, PG",UTAH,49,31.5,2.64,1.11,3.75,6.28
"PJ Tucker, SF",PHX/TOR,81,27.6,-0.69,1.78,1.09,5.98
"Marcus Smart, PG",BOS,79,30.4,0.26,0.49,0.75,5.98
"Marcus Morris, PF",DET,79,32.5,-0.11,0.63,0.52,5.85
"LaMarcus Aldridge, PF",SA,72,32.4,-0.09,1.05,0.96,5.79
"Serge Ibaka, PF",ORL/TOR,79,30.7,-0.51,1.08,0.57,5.7
"Nikola Mirotic, PF",CHI,70,24,0.92,1.31,2.23,5.69
"Maurice Harkless, SF",POR,77,28.9,0.38,0.49,0.87,5.67
"Thaddeus Young, PF",IND,74,30.2,-1.09,1.94,0.85,5.66
"Malcolm Brogdon, G",MIL,75,26.4,1.86,-0.42,1.44,5.66
"Dwight Howard, C",ATL,74,29.7,-1.7,2.6,0.9,5.65
"Mason Plumlee, C",DEN/POR,81,26.5,0.71,0.22,0.93,5.6
"Pau Gasol, C",SA,64,25.4,0.86,1.49,2.35,5.48
"DeMar DeRozan, SG",TOR,74,35.4,2.21,-2.04,0.17,5.46
"Tim Hardaway Jr., SG",ATL,79,27.3,1.9,-1.08,0.82,5.45
"Nikola Vucevic, C",ORL,75,28.8,-1.38,2.15,0.77,5.44
"Patrick Patterson, PF",TOR,65,24.6,1.05,1.26,2.31,5.4
"Solomon Hill, SF",NO,80,29.7,-1.06,1.49,0.43,5.4
"Elfrid Payton, PG",ORL,82,29.4,1.12,-0.78,0.34,5.38
"Greg Monroe, C",MIL,81,22.5,1.08,0.47,1.55,5.34
"Aaron Gordon, PF",ORL,80,28.7,1.25,-0.78,0.47,5.32
"Michael Kidd-Gilchrist, SF",CHA,81,29,-1.97,2.47,0.5,5.31
"Carmelo Anthony, SF",NY,74,34.3,1.87,-1.75,0.12,5.26
"Zaza Pachulia, C",GS,70,18.1,-0.31,3.23,2.92,5.12
"Wesley Matthews, SG",DAL,73,34.2,0.09,0.11,0.2,5.06
"Marcin Gortat, C",WSH,82,31.2,-1.25,1.18,-0.07,5.01
"Patty Mills, PG",SA,80,21.9,2.53,-1.26,1.27,4.86
"Al-Farouq Aminu, SF",POR,61,29.1,-1.86,3.13,1.27,4.86
"Danny Green, SG",SA,68,26.6,-0.45,1.71,1.26,4.83
"Vince Carter, SG",MEM,73,24.7,1.36,-0.06,1.3,4.81
"Harrison Barnes, SF",DAL,79,35.5,-0.44,0.11,-0.33,4.78
"Tyler Johnson, SG",MIA,73,29.8,0.13,0.18,0.31,4.72
"DeMarre Carroll, SF",TOR,72,26.1,0,0.83,0.83,4.66
"Manu Ginobili, SG",SA,69,18.7,1.43,1,2.43,4.64
"Tristan Thompson, C",CLE,78,29.9,-1.31,1.31,0,4.62
"Seth Curry, SG",DAL,70,29,0.52,0.01,0.53,4.51
"Dewayne Dedmon, C",SA,76,17.5,-1.63,3.94,2.31,4.49
"Ish Smith, PG",DET,81,24.1,0.28,0.25,0.53,4.48
"Luc Mbah a Moute, PF",LAC,80,22.3,-1.56,2.32,0.76,4.43
"Frank Kaminsky, C",CHA,75,26.1,0.96,-0.51,0.45,4.4
"Nene Hilario, C",HOU,67,17.9,-1.31,3.62,2.31,4.39
"Marvin Williams, PF",CHA,76,30.2,-0.02,-0.07,-0.09,4.36
"Andre Drummond, C",DET,81,29.7,-1.8,1.55,-0.25,4.33
"Taj Gibson, PF",CHI/OKC,78,25.5,-1.76,2.02,0.26,4.29
"Gary Harris, SG",DEN,57,31.3,2.88,-2.37,0.51,4.29
"Jameer Nelson, PG",DEN,75,27.3,0.45,-0.44,0.01,4.17
"Jonas Valanciunas, C",TOR,80,25.8,-0.74,0.75,0.01,4.06
"Terrence Ross, SF",ORL/TOR,78,25.1,1.36,-1.23,0.13,4.06
"Lucas Nogueira, C",TOR,57,19.1,-0.61,3.34,2.73,4.03
"Kentavious Caldwell-Pope, SG",DET,76,33.3,0.71,-1.31,-0.6,4.02
"David Lee, PF",SA,79,18.7,-0.38,1.5,1.12,3.98
"Jared Dudley, SF",PHX,64,21.3,-0.67,1.89,1.22,3.94
"JaMychal Green, PF",MEM,77,27.3,-0.41,0.39,-0.02,3.94
"JJ Redick, SG",LAC,78,28.2,1.73,-2.11,-0.38,3.86
"CJ Miles, SF",IND,76,23.4,1.3,-0.95,0.35,3.85
"Nick Young, SG",LAL,60,25.9,2.28,-1.63,0.65,3.82
"Larry Nance Jr., PF",LAL,63,22.9,-1.26,2.16,0.9,3.79
"Tony Allen, SG",MEM,71,27,-2.03,2.15,0.12,3.76
"Channing Frye, PF",CLE,74,18.9,1.62,-0.58,1.04,3.7
"Marreese Speights, PF",LAC,82,15.7,0.67,0.69,1.36,3.66
"Wayne Ellington, SG",MIA,62,24.2,2.26,-1.6,0.66,3.58
"Tyson Chandler, C",PHX,47,27.6,-1.06,2.2,1.14,3.55
"Thabo Sefolosha, SF",ATL,62,25.7,-1.93,2.27,0.34,3.55
"Kelly Olynyk, C",BOS,75,20.5,-0.31,0.81,0.5,3.54
"Darren Collison, PG",SAC,68,30.3,1.06,-1.47,-0.41,3.44
"Courtney Lee, SG",NY,77,31.9,0.58,-1.51,-0.93,3.4
"Jusuf Nurkic, C",DEN/POR,65,21.4,-2.11,2.73,0.62,3.32
"Trevor Booker, PF",BKN,71,24.7,-2.29,2,-0.29,3.3
"Tony Snell, SF",MIL,80,29.2,-0.02,-0.85,-0.87,3.29
"Rondae Hollis-Jefferson, SG",BKN,78,22.6,-2.16,1.78,-0.38,3.29
"Devin Booker, SG",PHX,78,35,1.28,-2.58,-1.3,3.29
"Nemanja Bjelica, PF",MIN,65,18.3,-0.71,1.94,1.23,3.24
"Rudy Gay, SF",SAC,30,33.8,-0.21,1.96,1.75,3.1
"Jerian Grant, PG",CHI,63,16.3,0.5,1.07,1.57,3.03
"Dirk Nowitzki, PF",DAL,54,26.4,-0.38,0.64,0.26,3.02
"Deron Williams, PG",CLE/DAL,64,25.9,0.69,-0.91,-0.22,2.95
"Nerlens Noel, PF",DAL/PHI,51,20.5,-1.33,2.58,1.25,2.95
"Andrew Wiggins, SG",MIN,82,37.2,1.56,-3.16,-1.6,2.94
"Evan Fournier, SG",ORL,68,32.9,0.07,-1.17,-1.1,2.89
"Justin Holiday, SG",NY,82,20,-0.58,0.25,-0.33,2.87
"T.J. McConnell, PG",PHI,81,26.3,-1.32,0.23,-1.09,2.86
"Kyle Anderson, SF",SA,72,14.2,-1.81,3.11,1.3,2.84
"Clint Capela, C",HOU,65,23.9,-1.47,1.12,-0.35,2.82
"Jason Terry, SG",MIL,74,18.4,-0.41,0.61,0.2,2.81
"David West, PF",GS,68,12.6,-1.47,3.54,2.07,2.81
"Dion Waiters, SG",MIA,46,30.1,0.12,-0.07,0.05,2.8
"Kosta Koufos, C",SAC,71,20,-2.78,2.83,0.05,2.79
"Jon Leuer, PF",DET,75,25.9,-1.43,0.58,-0.85,2.78
"Luol Deng, SF",LAL,56,26.5,-1.87,1.54,-0.33,2.69
"Wilson Chandler, SF",DEN,71,30.9,0.3,-1.54,-1.24,2.69
"Garrett Temple, SG",SAC,65,26.6,-0.14,-0.46,-0.6,2.67
"Ty Lawson, PG",SAC,69,25.1,0.49,-1.21,-0.72,2.63
"Aron Baynes, C",DET,75,15.5,-2.45,2.93,0.48,2.63
"Jabari Parker, PF",MIL,51,33.9,0.83,-1.61,-0.78,2.59
"Joe Johnson, SF",UTAH,78,23.6,0.79,-1.56,-0.77,2.58
"Devin Harris, PG",DAL,65,16.7,0.38,0.32,0.7,2.58
"Dwyane Wade, SG",CHI,60,29.9,-0.45,-0.46,-0.91,2.52
"Luke Babbitt, SF",MIA,68,15.7,-0.64,1.24,0.6,2.5
"James Ennis III, SF",MEM,64,23.5,-1.13,1.4,0.27,2.48
"Joel Embiid, C",PHI,31,25.4,-0.57,2.27,1.7,2.46
"Khris Middleton, SG",MIL,29,30.7,0.14,1.26,1.4,2.44
"Iman Shumpert, SG",CLE,76,25.5,-0.98,-0.16,-1.14,2.43
"Robin Lopez, C",CHI,81,28,-2.07,0.63,-1.44,2.42
"Kent Bazemore, SF",ATL,73,26.9,-0.69,-0.5,-1.19,2.41
"Enes Kanter, C",OKC,72,21.3,0.56,-1.24,-0.68,2.4
"Willy Hernangomez, C",NY,72,18.4,-0.75,0.4,-0.35,2.37
"Kyle O'Quinn, C",NY,79,15.6,-1.28,1.16,-0.12,2.31
"Dante Cunningham, PF",NO,66,25,-0.37,-0.56,-0.93,2.29
"Spencer Dinwiddie, PG",BKN,59,22.6,-0.8,0.31,-0.49,2.29
"Rodney Hood, SG",UTAH,59,27,-0.26,-0.51,-0.77,2.23
"Salah Mejri, C",DAL,73,12.4,-2.71,3.66,0.95,2.23
"Jeremy Lin, PG",BKN,36,24.5,0.48,-0.03,0.45,2.21
"Will Barton, SG",DEN,60,28.4,0.05,-1.2,-1.15,2.2
"Marco Belinelli, SG",CHA,74,24,0.67,-1.87,-1.2,2.15
"Brandon Jennings, PG",NY/WSH,81,22.2,0.25,-1.5,-1.25,2.15
"Mike Muscala, PF",ATL,70,17.7,-0.02,-0.36,-0.38,2.11
"Matt Barnes, SF",GS/SAC,74,24,-1.18,-0.09,-1.27,2.07
"JaVale McGee, C",GS,77,9.6,0.83,0.11,0.94,2.04
"Rodney McGruder, SG",MIA,78,25.2,-0.58,-0.9,-1.48,2.04
"Richaun Holmes, PF",PHI,57,20.9,-0.32,-0.18,-0.5,2.01
"Corey Brewer, SG",HOU/LAL,82,15.6,-1.75,1,-0.75,1.99
"Jonathon Simmons, SG",SA,78,17.8,-2.03,1.12,-0.91,1.94
"Anthony Tolliver, PF",SAC,65,22.7,-0.07,-0.97,-1.04,1.93
"Jamal Murray, G",DEN,82,21.5,0.06,-1.57,-1.51,1.86
"Zach Randolph, PF",MEM,73,24.5,-0.37,-1.05,-1.42,1.83
"Julius Randle, PF",LAL,74,28.8,-0.79,-1.03,-1.82,1.83
"Tarik Black, C",LAL,67,16.3,-2.5,1.96,-0.54,1.81
"Jason Smith, PF",WSH,74,14.4,-1.08,0.54,-0.54,1.75
"Alan Williams, PF",PHX,47,15.1,-0.94,1.49,0.55,1.75
"Dario Saric, SF",PHI,81,26.3,-1.25,-0.62,-1.87,1.74
"Derrick Favors, PF",UTAH,50,23.7,-2.76,2.06,-0.7,1.73
"Willie Cauley-Stein, C",SAC,75,18.9,-2.07,0.9,-1.17,1.72
"D'Angelo Russell, PG",LAL,63,28.7,0.75,-2.45,-1.7,1.69
"Terry Rozier, PG",BOS,74,17.1,-1.05,-0.01,-1.06,1.65
"Davis Bertans, SF",SA,67,12.1,0.07,-0.01,0.06,1.64
"Sam Dekker, SF",HOU,77,18.4,0.05,-1.42,-1.37,1.64
"Jonas Jerebko, PF",BOS,78,15.8,-0.89,-0.14,-1.03,1.63
"Norman Powell, SG",TOR,76,18,-0.24,-1.01,-1.25,1.63
"Austin Rivers, PG",LAC,74,27.8,-0.17,-1.73,-1.9,1.62
"Dwight Powell, PF",DAL,77,17.3,-0.66,-0.51,-1.17,1.58
"Josh Richardson, SG",MIA,53,30.5,-1.63,0.06,-1.57,1.57
"Matthew Dellavedova, PG",MIL,76,26.1,-0.88,-1.01,-1.89,1.54
"Caris LeVert, SG",BKN,57,21.7,-0.46,-0.84,-1.3,1.53
"Richard Jefferson, SF",CLE,79,20.4,-1.16,-0.48,-1.64,1.51
"Rajon Rondo, PG",CHI,69,26.7,-1.35,-0.49,-1.84,1.51
"E'Twaun Moore, SG",NO,73,24.9,-0.24,-1.58,-1.82,1.5
"Montrezl Harrell, PF",HOU,58,18.3,-0.39,-0.6,-0.99,1.5
"Meyers Leonard, PF",POR,74,16.5,-1.5,0.26,-1.24,1.48
"Langston Galloway, SG",NO/SAC,74,20.2,0.1,-1.65,-1.55,1.46
"Ian Mahinmi, C",WSH,31,17.9,-2.22,3.11,0.89,1.44
"Tony Parker, PG",SA,63,25.2,-0.69,-0.97,-1.66,1.42
"Tyus Jones, PG",MIN,60,12.9,0.11,-0.34,-0.23,1.4
"Andrew Harrison, PG",MEM,72,20.5,-1.2,-0.38,-1.58,1.38
"JR Smith, SG",CLE,41,29,-0.32,-0.98,-1.3,1.37
"TJ Warren, SF",PHX,66,31,0.3,-2.44,-2.14,1.34
"Joakim Noah, C",NY,46,22.1,-2.23,1.17,-1.06,1.32
"Jeremy Lamb, SG",CHA,62,18.4,0.04,-1.32,-1.28,1.31
"Willie Reed, PF",MIA,71,14.5,-2.42,1.25,-1.17,1.28
"Cristiano Felicio, PF",CHI,66,15.8,-1.55,0.39,-1.16,1.28
"Kenneth Faried, PF",DEN,61,21.2,-0.07,-1.55,-1.62,1.27
"Roy Hibbert, C",DEN/CHA,48,14.2,-2.48,2.08,-0.4,1.21
"Andrew Bogut, C",CLE/DAL,27,21.6,-4.01,4.34,0.33,1.2
"Taurean Prince, SF",ATL,59,16.6,-3.7,2.47,-1.23,1.2
"Derrick Rose, PG",NY,64,32.5,0.11,-2.36,-2.25,1.17
"Mirza Teletovic, PF",MIL,70,16.2,-1.05,-0.44,-1.49,1.16
"Domantas Sabonis, PF",OKC,81,20.1,-3.9,1.86,-2.04,1.14
"Avery Bradley, PG",BOS,55,33.4,-0.44,-1.72,-2.16,1.13
"Timothe Luwawu-Cabarrot, SG",PHI,69,17.2,-2.27,0.57,-1.7,1.11
"Glenn Robinson III, SG",IND,69,20.7,-1.25,-0.67,-1.92,1.1
"Dennis Schroder, PG",ATL,79,31.5,0.31,-2.76,-2.45,1.07
"John Henson, PF",MIL,58,19.4,-3.42,1.79,-1.63,1.05
"Cole Aldrich, C",MIN,62,8.6,-1.82,1.83,0.01,1.04
"Wesley Johnson, SF",LAC,68,11.9,-3.79,2.62,-1.17,1.01
"Darrell Arthur, PF",DEN,41,15.6,-0.91,0.2,-0.71,0.99
"Al Jefferson, C",IND,66,14.1,-1,-0.45,-1.45,0.98
"Beno Udrih, PG",DET,39,14.4,-0.39,0.13,-0.26,0.98
"Tomas Satoransky, SG",WSH,57,12.6,-2.1,1.08,-1.02,0.93
"Raymond Felton, PG",LAC,80,21.3,-1.4,-0.88,-2.28,0.92
"Dorian Finney-Smith, F",DAL,81,20.3,-1.92,-0.3,-2.22,0.9
"Juan Hernangomez, PF",DEN,62,13.6,-0.85,-0.69,-1.54,0.88
"Cory Joseph, PG",TOR,80,25,-0.5,-1.94,-2.44,0.86
"Justin Hamilton, C",BKN,64,18.4,-1.64,-0.42,-2.06,0.84
"Terrence Jones, PF",NO/MIL,54,23.5,-1.38,-0.72,-2.1,0.84
"Boban Marjanovic, C",DET,35,8.4,-0.24,1.66,1.42,0.82
"Derrick Jones Jr., SF",PHX,32,17,-1.06,0.18,-0.88,0.82
"Tyreke Evans, SG",NO/SAC,40,19.7,-1.52,0.02,-1.5,0.81
"Sean Kilpatrick, SG",BKN,70,25.1,-0.07,-2.36,-2.43,0.81
"Alex Len, C",PHX,77,20.3,-3.62,1.28,-2.34,0.81
"J.J. Barea, PG",DAL,35,22,0.15,-1.57,-1.42,0.8
"Reggie Bullock, SF",DET,31,15.1,-0.98,0.57,-0.41,0.79
"Nik Stauskas, SG",PHI,80,27.4,-0.32,-2.25,-2.57,0.78
"Michael Carter-Williams, PG",CHI,45,18.8,-2.82,1.12,-1.7,0.77
"Delon Wright, PG",TOR,27,16.5,-1.28,0.98,-0.3,0.77
"Troy Daniels, SG",MEM,67,17.7,-0.02,-2.1,-2.12,0.72
"Jakob Poeltl, C",TOR,54,11.6,-2.36,1.09,-1.27,0.72
"Mindaugas Kuzminskas, F",NY,68,14.9,-0.8,-1.2,-2,0.72
"Brandan Wright, PF",MEM,28,16,-0.86,0.4,-0.46,0.71
"Kelly Oubre Jr., SF",WSH,79,20.3,-1.67,-0.76,-2.43,0.71
"Jodie Meeks, SG",ORL,36,20.5,-0.05,-1.6,-1.65,0.7
"Tim Frazier, PG",NO,65,23.5,-0.73,-1.67,-2.4,0.7
"Thon Maker, PF",MIL,57,9.9,-1.23,0.17,-1.06,0.7
"Alex Abrines, SG",OKC,68,15.5,0.13,-2.25,-2.12,0.69
"Allen Crabbe, SG",POR,79,28.5,0.22,-2.87,-2.65,0.68
"Omer Asik, C",NO,31,15.5,-2.97,1.94,-1.03,0.65
"Denzel Valentine, SG",CHI,57,17.1,-2.21,0.13,-2.08,0.64
"Bismack Biyombo, C",ORL,81,22.1,-3.33,0.77,-2.56,0.63
"Stanley Johnson, SF",DET,77,17.8,-2.34,-0.04,-2.38,0.63
"Kevon Looney, SF",GS,53,8.4,-2.03,1.05,-0.98,0.63
"Luis Scola, PF",BKN,36,12.8,-0.8,-0.29,-1.09,0.62
"Alexis Ajinca, C",NO,39,15,-3.17,1.64,-1.53,0.6
"Jeff Withey, C",UTAH,51,8.5,-1.5,0.57,-0.93,0.58
"Kris Humphries, PF",ATL,56,12.3,-2.3,0.41,-1.89,0.54
"Raul Neto, PG",UTAH,40,8.7,-1.43,0.92,-0.51,0.53
"Shabazz Napier, PG",POR,53,9.7,-0.12,-1.39,-1.51,0.51
"Mike Dunleavy, SG",ATL/CLE,53,15.9,-2.26,0.05,-2.21,0.49
"Tyler Ennis, PG",HOU/LAL,53,11.1,-1.36,-0.51,-1.87,0.49
"Michael Beasley, SF",MIL,56,16.7,-1.7,-0.61,-2.31,0.48
"Shawn Long, PF",PHI,18,13,-0.31,0.3,-0.01,0.47
"David Nwaba, PG",LAL,20,19.9,-1.89,0.59,-1.3,0.47
"Anthony Morrow, SG",CHI/OKC,49,14.6,-0.66,-1.46,-2.12,0.46
"Skal Labissiere, F",SAC,33,18.5,-1.93,-0.04,-1.97,0.45
"Bobby Portis, PF",CHI,64,15.6,-1.94,-0.5,-2.44,0.43
"Kyle Korver, SG",ATL/CLE,67,26.2,-0.15,-2.61,-2.76,0.41
"Paul Pierce, SF",LAC,25,11.1,-2.04,1.24,-0.8,0.4
"Joffrey Lauvergne, C",CHI/OKC,70,14,-1.22,-1.27,-2.49,0.39
"Yogi Ferrell, PG",DAL/BKN,46,26,-0.99,-1.21,-2.2,0.39
"Jordan Crawford, SG",NO,19,23.3,0.82,-2.48,-1.66,0.38
"Hollis Thompson, SF",NO/PHI,40,18.8,-0.82,-1.23,-2.05,0.38
"DeAndre Liggins, SG",CLE/DAL,62,12.5,-3.13,0.76,-2.37,0.37
"Sergio Rodriguez, PG",PHI,68,22.3,-0.66,-2.11,-2.77,0.35
"Shaun Livingston, PG",GS,76,17.7,-2.55,-0.19,-2.74,0.33
"James Michael McAdoo, SF",GS,52,8.8,-3.15,1.07,-2.08,0.31
"KJ McDaniels, SG",HOU/BKN,49,10.3,-1.54,-0.68,-2.22,0.3
"Trey Lyles, PF",UTAH,71,16.3,-2.48,-0.23,-2.71,0.29
"Thomas Robinson, PF",LAL,48,11.7,-1.68,-0.66,-2.34,0.28
"Tyler Zeller, C",BOS,51,10.3,-2.5,0.2,-2.3,0.28
"Okaro White, PF",MIA,35,13.5,-2.13,-0.03,-2.16,0.28
"Fred VanVleet, PG",TOR,37,7.9,-2.44,0.83,-1.61,0.28
"Sasha Vujacic, SG",NY,42,9.7,-2.35,0.26,-2.09,0.27
"Evan Turner, SG",POR,65,25.5,-3.04,0.15,-2.89,0.25
