TEAM,VALUE_MILLIONS
New York Knicks,3300.00
Los Angeles Lakers,3000.00
Golden State Warriors,2600.00
Chicago Bulls,2500.00
Boston Celtics,2200.00
Los Angeles Clippers,2000.00
Brooklyn Nets,1800.00
Houston Rockets,1650.00
Dallas Mavericks,1450.00
Miami Heat,1350.00
Cleveland Cavaliers,1200.00
San Antonio Spurs,1175.00
Toronto Raptors,1125.00
Phoenix Suns,1100.00
Sacramento Kings,1075.00
Portland Trail Blazers,1050.00
Oklahoma City Thunder,1025.00
Washington Wizards,1000.00
Orlando Magic,920.00
Utah Jazz,910.00
Detroit Pistons,900.00
Denver Nuggets,890.00
Atlanta Hawks,885.00
Indiana Pacers,880.00
Philadelphia 76ers,800.00
Memphis Grizzlies,790.00
Milwaukee Bucks,785.00
Charlotte Hornets,780.00
Minnesota Timberwolves,770.00
New Orleans Pelicans,750.00
